model_id,organization,model_name,directory,reason
optimum-intel-internal-testing/trocr-small-handwritten,optimum-intel-internal-testing,trocr-small-handwritten,optimum-intel-internal-testing__trocr-small-handwritten,duplicate_model_name
optimum/t5-small,optimum,t5-small,optimum__t5-small,duplicate_model_name
mlx-community/parakeet-tdt-0.6b-v2,mlx-community,parakeet-tdt-0.6b-v2,parakeet-tdt-0_6b-v2,duplicate_model_name
mlx-community/parakeet-tdt-0.6b-v3,mlx-community,parakeet-tdt-0.6b-v3,parakeet-tdt-0_6b-v3,duplicate_model_name
prithivida/Splade_PP_en_v1,prithivida,Splade_PP_en_v1,prithivida__Splade_PP_en_v1,duplicate_model_name
pyannote-community/speaker-diarization-community-1,pyannote-community,speaker-diarization-community-1,pyannote-community__speaker-diarization-community-1,duplicate_model_name
sentence-transformers/paraphrase-albert-small-v2,sentence-transformers,paraphrase-albert-small-v2,sentence-transformers__paraphrase-albert-small-v2,duplicate_model_name
unsloth/bge-small-en-v1.5,unsloth,bge-small-en-v1.5,unsloth__bge-small-en-v1_5,duplicate_model_name
Xenova/whisper-base.en,Xenova,whisper-base.en,whisper-base_en,duplicate_model_name
Xenova/whisper-tiny.en,Xenova,whisper-tiny.en,whisper-tiny_en,duplicate_model_name
